application_id,customer_id,region,loan_amount,loan_term_months,scoring_score,scoring_risk_level,document_type,document_status,decision_status,submitted_at
loan_0018965,cust_009959,DE-BE,5549,18,539,low,employment_contract,rejected,approved,2025-05-18T20:00:14Z
loan_0018965,cust_009959,DE-BE,5549,18,539,low,employment_contract,pending,approved,2025-05-18T20:00:14Z
loan_0018966,cust_066912,DE-BY,32934,24,691,high,employment_contract,rejected,approved,2025-05-15T10:00:33Z
loan_0018966,cust_066912,DE-BY,32934,24,691,high,income_statement,pending,approved,2025-05-15T10:00:33Z
loan_0018967,cust_026063,DE-HE,77469,18,786,high,passport,pending,approved,2025-05-17T02:05:31Z
loan_0018967,cust_026063,DE-HE,77469,18,786,high,utility_bill,pending,approved,2025-05-17T02:05:31Z
loan_0018968,cust_082376,DE-HH,25172,36,503,high,income_statement,verified,rejected,2025-05-16T10:48:19Z
loan_0018968,cust_082376,DE-HH,25172,36,503,high,utility_bill,verified,rejected,2025-05-16T10:48:19Z
loan_0018969,cust_026398,DE-RP,75697,42,486,low,employment_contract,rejected,manual_review,2025-05-26T02:27:19Z
loan_0018969,cust_026398,DE-RP,75697,42,486,low,income_statement,pending,manual_review,2025-05-26T02:27:19Z
loan_0018970,cust_071793,DE-RP,81397,18,814,high,income_statement,verified,manual_review,2025-05-25T10:01:23Z
loan_0018970,cust_071793,DE-RP,81397,18,814,high,passport,verified,manual_review,2025-05-25T10:01:23Z
loan_0018971,cust_078308,DE-HH,80740,42,806,high,income_statement,pending,approved,2025-05-18T16:28:17Z
loan_0018971,cust_078308,DE-HH,80740,42,806,high,income_statement,rejected,approved,2025-05-18T16:28:17Z
loan_0018972,cust_059102,DE-BY,27091,12,311,medium,utility_bill,verified,manual_review,2025-05-12T21:19:03Z
loan_0018972,cust_059102,DE-BY,27091,12,311,medium,passport,verified,manual_review,2025-05-12T21:19:03Z
loan_0018973,cust_049131,DE-HE,10230,54,637,high,utility_bill,verified,rejected,2025-05-08T03:17:32Z
loan_0018973,cust_049131,DE-HE,10230,54,637,high,passport,verified,rejected,2025-05-08T03:17:32Z
loan_0018974,cust_026856,DE-NW,39995,54,842,high,passport,rejected,approved,2025-05-21T06:41:20Z
loan_0018974,cust_026856,DE-NW,39995,54,842,high,passport,verified,approved,2025-05-21T06:41:20Z
loan_0018975,cust_092038,DE-HH,57431,42,657,medium,passport,rejected,manual_review,2025-05-21T19:33:57Z
loan_0018975,cust_092038,DE-HH,57431,42,657,medium,employment_contract,rejected,manual_review,2025-05-21T19:33:57Z
loan_0018976,cust_060339,DE-HE,86100,42,463,low,employment_contract,pending,approved,2025-05-02T13:33:46Z
loan_0018976,cust_060339,DE-HE,86100,42,463,low,income_statement,verified,approved,2025-05-02T13:33:46Z
loan_0018977,cust_002368,DE-BY,58858,12,601,low,passport,verified,approved,2025-05-29T10:33:30Z
